37, 13, 11, 10, 3, 9.25, 3.76663
37, 13, 11, 9, 4, 9.25, 3.34477
37, 13, 11, 8, 5, 9.25, 3.03109
37, 13, 11, 7, 6, 9.25, 2.86138
37, 13, 9, 8, 7, 9.25, 2.27761
37, 11, 10, 9, 7, 9.25, 1.47902
38, 23, 7, 5, 3, 9.5, 7.92149
38, 19, 11, 5, 3, 9.5, 6.22495
38, 17, 13, 5, 3, 9.5, 5.72276
38, 17, 11, 7, 3, 9.5, 5.17204
38, 17, 9, 7, 5, 9.5, 4.55522
38, 13, 11, 9, 5, 9.5, 2.95804
39, 29, 5, 3, 2, 9.75, 11.1664
39, 25, 7, 4, 3, 9.75, 8.92679
39, 23, 11, 3, 2, 9.75, 8.40759
39, 23, 9, 5, 2, 9.75, 8.04285
39, 23, 8, 5, 3, 9.75, 7.85414
39, 23, 7, 5, 4, 9.75, 7.72577
39, 21, 11, 5, 2, 9.75, 7.25862
39, 19, 13, 5, 2, 9.75, 6.68487
39, 19, 13, 4, 3, 9.75, 6.60965
39, 19, 11, 7, 2, 9.75, 6.21993
39, 19, 11, 5, 4, 9.75, 5.9739
39, 19, 10, 7, 3, 9.75, 5.88961
39, 19, 9, 7, 4, 9.75, 5.62917
39, 19, 8, 7, 5, 9.75, 5.44862
39, 17, 14, 5, 3, 9.75, 5.88961
39, 17, 13, 7, 2, 9.75, 5.7173
39, 17, 13, 5, 4, 9.75, 5.44862
39, 17, 11, 9, 2, 9.75, 5.35607
39, 17, 11, 8, 3, 9.75, 5.06828
39, 17, 11, 7, 4, 9.75, 4.86698
39, 17, 11, 6, 5, 9.75, 4.76314
39, 17, 9, 8, 5, 9.75, 4.43706
39, 16, 13, 7, 3, 9.75, 5.06828
39, 16, 11, 7, 5, 9.75, 4.20565
39, 15, 13, 7, 4, 9.75, 4.43706
39, 14, 11, 9, 5, 9.75, 3.26917
39, 13, 11, 8, 7, 9.75, 2.38485
39, 13, 10, 9, 7, 9.75, 2.16506
40, 19, 13, 5, 3, 10, 6.40312
40, 19, 11, 7, 3, 10, 5.91608
40, 19, 9, 7, 5, 10, 5.38516
40, 17, 13, 7, 3, 10, 5.38516
40, 17, 11, 7, 5, 10, 4.58258
